accuracy,correct,generate_bs,kv_positions_handoff_per_sample,kv_positions_handoff_total,latent_steps,log_file,logical_kv_payload_mb_per_sample,logical_kv_payload_mb_total,max_samples,method,model,output_tokens_per_sample,output_tokens_total,peak_gpu_memory_mb,peak_kv_positions,seed,split,temperature,time_per_sample_sec,total_time_sec
0.89,89,1,1099.6,109960,10,latent_mas_arc_challenge_100.log,154.6312,15463.125,100,latent_mas,Qwen/Qwen3-4B,561.03,56103,8168.3936,758,42,test,0.0,19.63,1962.999
0.97,97,1,1023.04,102304,10,latent_mas_arc_easy_100.log,143.865,14386.5,100,latent_mas,Qwen/Qwen3-4B,461.89,46189,8135.7925,701,42,test,0.0,16.2173,1621.7256
0.7,70,1,1589.56,158956,10,latent_mas_humanevalplus_100.log,223.5319,22353.1875,100,latent_mas,Qwen/Qwen3-4B,1366.58,136658,8286.0073,1421,42,test,0.0,46.6431,4664.3126
0.66,66,1,1545.22,154522,10,latent_mas_mbppplus_100.log,217.2966,21729.6562,100,latent_mas,Qwen/Qwen3-4B,1168.67,116867,8287.5664,1838,42,test,0.0,39.9799,3997.9863
0.59,59,1,2103.52,210352,10,latent_mas_medqa_100.log,295.8075,29580.75,100,latent_mas,Qwen/Qwen3-4B,1070.44,107044,8336.7739,1814,42,test,0.0,35.94,3593.9958
0.88,88,1,0.0,0,10,selectkv80_arc_challenge_100.log,0.0,0.0,100,selectkv_mas,Qwen/Qwen3-4B,469.26,46926,8317.0093,0,42,test,0.0,20.9347,2093.4674
0.99,99,1,0.0,0,10,selectkv80_arc_easy_100.log,0.0,0.0,100,selectkv_mas,Qwen/Qwen3-4B,385.77,38577,8249.8857,0,42,test,0.0,17.0826,1708.2567
0.68,68,1,0.0,0,10,selectkv80_humanevalplus_100.log,0.0,0.0,100,selectkv_mas,Qwen/Qwen3-4B,1347.86,134786,9354.8203,0,42,test,0.0,56.8812,5688.1213
0.61,61,1,0.0,0,10,selectkv80_mbppplus_100.log,0.0,0.0,100,selectkv_mas,Qwen/Qwen3-4B,1262.57,126257,10333.8994,0,42,test,0.0,52.3394,5233.9356
0.53,53,1,0.0,0,10,selectkv80_medqa_100.log,0.0,0.0,100,selectkv_mas,Qwen/Qwen3-4B,1046.49,104649,10270.5386,0,42,test,0.0,43.9603,4396.0342
